client_id,age,occupation,income,risk_profile,savings_rate,n_holdings,invested_total,current_total,pnl_pct,redemptions_90d,sip_missed_3m,sip_active,idle_cash,has_insurance,has_elss,has_debt,large_cap_pct,is_hni,behavioral_risk_label,priority_label,health_score_label,lead_label
CL1000,30,Business Owner,35000,Moderate,0.325,1,93158,91226.0,-0.021,1,0,1,400000,1,0,0,0.0,0,medium,0,72.7,1
CL1001,57,Business Owner,50000,Moderate,0.486,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,medium,0,63.3,0
CL1002,61,Business Owner,35000,Conservative,0.506,5,877424,595821.0,-0.321,1,0,1,10000,0,1,1,0.429,0,medium,0,75.4,1
CL1003,44,Salaried,50000,Moderate,0.49,0,0,0.0,0.0,1,0,1,10000,1,0,0,0.0,0,medium,0,74.1,1
CL1004,25,Business Owner,700000,Conservative,0.59,3,903470,1051457.0,0.164,0,0,1,400000,0,1,0,0.697,1,low,1,41.0,0
CL1005,41,Salaried,50000,Conservative,0.284,3,525622,483193.0,-0.081,0,0,1,10000,1,0,1,0.0,0,low,0,92.3,1
CL1006,27,Business Owner,75000,Aggressive,0.266,1,262357,292069.0,0.113,0,0,1,400000,1,0,0,0.0,0,low,0,74.3,1
CL1007,37,Salaried,250000,Conservative,0.223,0,0,0.0,0.0,0,1,1,50000,0,0,0,0.0,0,medium,0,56.4,1
CL1008,36,Salaried,250000,Aggressive,0.405,3,346984,428420.0,0.235,0,0,1,150000,1,0,1,0.0,0,low,0,90.4,0
CL1009,60,Business Owner,400000,Moderate,0.433,2,565882,596195.0,0.054,0,1,0,0,1,0,0,0.0,1,medium,0,87.0,1
CL1010,32,Business Owner,75000,Moderate,0.361,4,785289,822337.0,0.047,0,1,1,0,1,1,1,0.622,0,low,0,78.4,0
CL1011,40,Salaried,250000,Moderate,0.356,3,953994,991351.0,0.039,0,0,1,0,1,0,1,0.364,0,low,0,88.6,1
CL1012,42,Salaried,100000,Moderate,0.424,1,298058,316123.0,0.061,0,0,1,150000,0,1,0,0.0,0,low,0,57.3,0
CL1013,24,Self-Employed,50000,Moderate,0.391,1,146286,200337.0,0.369,0,0,1,0,0,0,0,0.592,0,low,0,54.9,1
CL1014,27,Salaried,75000,Aggressive,0.229,3,876528,975392.0,0.113,0,0,1,150000,1,1,0,0.0,0,low,0,87.3,1
CL1015,35,Self-Employed,150000,Aggressive,0.549,5,569629,521242.0,-0.085,0,0,1,0,1,1,1,0.304,0,low,0,95.8,1
CL1016,26,Salaried,100000,Conservative,0.538,2,310784,383038.0,0.232,1,0,1,0,1,1,0,0.734,0,medium,0,69.2,1
CL1017,59,Salaried,700000,Moderate,0.195,3,817243,1128510.0,0.381,0,0,1,50000,1,0,0,0.333,1,low,1,90.2,0
CL1018,29,Self-Employed,35000,Aggressive,0.307,2,270815,320255.0,0.183,0,0,1,50000,0,0,0,0.41,0,low,0,55.7,0
CL1019,52,Salaried,100000,Moderate,0.243,4,553098,663035.0,0.199,0,0,1,0,1,1,0,0.841,0,low,0,68.1,1
CL1020,33,Salaried,400000,Moderate,0.336,2,411329,469359.0,0.141,0,0,1,400000,1,0,1,0.0,1,low,0,93.5,1
CL1021,58,Salaried,700000,Conservative,0.219,2,627923,678593.0,0.081,0,0,0,10000,0,0,0,0.651,1,low,0,41.1,1
CL1022,55,Salaried,75000,Aggressive,0.394,0,0,0.0,0.0,0,3,1,0,1,0,0,0.0,0,high,0,81.6,0
CL1023,38,Salaried,400000,Aggressive,0.467,1,331699,374309.0,0.128,0,0,0,0,0,1,0,0.0,1,medium,0,61.5,0
CL1024,60,Self-Employed,250000,Conservative,0.391,5,1256205,1040834.0,-0.171,1,0,1,0,0,1,0,0.0,0,medium,1,68.6,0
CL1025,62,Salaried,50000,Aggressive,0.354,1,159041,165177.0,0.039,1,0,0,10000,1,1,0,0.0,0,high,1,88.8,0
CL1026,38,Self-Employed,250000,Conservative,0.447,3,1000883,1114829.0,0.114,0,0,0,150000,0,1,0,0.0,0,low,0,74.3,0
CL1027,29,Self-Employed,75000,Conservative,0.297,0,0,0.0,0.0,0,0,1,0,0,0,0,0.0,0,low,0,55.3,0
CL1028,61,Business Owner,100000,Moderate,0.507,1,352523,388459.0,0.102,0,0,1,150000,1,0,0,0.0,0,low,0,93.6,1
CL1029,26,Business Owner,50000,Moderate,0.704,2,283466,291394.0,0.028,1,0,1,10000,0,0,0,0.565,0,medium,0,53.7,1
CL1030,50,Salaried,35000,Conservative,0.352,5,781405,592435.0,-0.242,1,0,1,0,1,1,1,0.426,0,high,1,93.9,0
